Song Name,Movie Name,Release Year,Music Director,Poet,Singers,Actors
"O Sanam, Ro Ro Kay Teri Yaad Mein Ham, Yunhi Marren Gay..",Shabnam,1965,A. Hameed,Fyaz Hashmi,Noorjahan,
"O Sanwaria, Chhor Chunariya, Hath Na Mohay Laga..",Bombay Vala,1961,Rehman Verma,Mushir Kazmi,Zubaida Khanum,
"O Shehri Chhoray, Aa Ja Bin Toray, Raha Nahin Jaye..",Bombay Vala,1961,Rehman Verma,Mushir Kazmi,Zubaida Khanum,
"O Tera Pyar Sataye Ray, Sajna, Mohay Neend Na Aye Ray..",Misaal,1966,Azam Baig,Rehan,Naheed Niazi,
"Oh Kahay Dil Ki Umang, Urrun Badal Kay Sang..",Shaheed,1962,Rasheed Attray,Tufail Hoshiarpuri,Zubaida Khanum,
"Ok, Suni Na Samjha, Baat Meri, Teray Baap Nay, Keh Diya Ok..",Fasana-e-Dil,1969,M. Ashraf,Khawaja Parvez,Ahmad Rushdi,
"Oncle Tom Akela Hay, Julie, Julie, Andar Us Ka Ek Dam Khali..",Shikva,1963,Hassan Latif,Munir Niazi,Ahmad Rushdi,
"Oyi Meray Allah, Banaya Meray Samnay, Unchi Unchi Nigahen..",Saaz aur Aavaz,1965,Hassan Latif,Habib Jalib,Mala,
"Pagal Hayn Woh Log, Jo Hamen Samjhanay Aatay Hayn..",Faishon,1965,Bakhshi Wazir,Qateel Shafai,Nazir Begum,
"Pakro Pakro Ray Mujrim Bhaga, Janay Na Paye..",Qanoon,1963,Khalil Ahmad,Tanvir Naqvi,Ahmad Rushdi,
"Pal Pal Dekhun Rahen, Mera Dil Gabhraye, Dil Tarpaye..",Taqdeer,1966,Deebo,Masroor Anwar,Noorjahan,
"Pala Geyi Ray, Najariya Say Daroo..",7 Rang,1965,Subal Das,Suroor Barabankvi,Latif,
"Palkon Kay Moti Chhupatay Raho, Jis Tarah Chahay, Satatay Raho..",Jan Pehchan,1967,Muslehuddin,Nasir Kasganjvi,Ahmad Rushdi,
"Palkon Ki Ghanni Chhaun Kay Tallay, Do Peimanay Tum Lay Kay Chalay..",Nehlay Peh Dehla,1964,Muslehuddin,Fyaz Hashmi,Ahmad Rushdi,
"Palkon Peh Ashkon Kay Deep Jalay, Sham Dhalay..",Sham Dhalay,1960,Rasheed Attray,Tufail Hoshiarpuri,Naseem Begum,
"Pall Pall, Mera Jee Gabhraye, Janay Walay, Ja Kay Na Aye..",Ghoonghat,1962,Khawaja Khursheed Anwar,Tanvir Naqvi,Noorjahan,
"Panchhi To Sab Ki Baten Boojhay, Meri Bhi Boojh Kahani..",Ek Thi Maa,1960,Rehman Verma,Mushir Kazmi,Kousar Parveen,
"Panchhi, Ja Ray Ja, Tujhay Kya Bataun..",Jungli Phool,1968,Karim Shahabuddin,Akhtar Lakhnavi,Naheed Niazi,
"Panghat Peh Ghoonghat Ult Kay Na Chalna, Gori Sanbhalna..",Chori Chhuppay,1965,Hasnain,?,Shabana Majeed & Co.,
"Pankhri Hun Main Gulab Ki, Dhoom Hay Meray Shabab Ki..",Neelofar,1960,Safdar Hussain,Ahmad Rahi,Naheed Niazi,
"Paon Kahin Rakhun, Najar Kahin Jaye Ray..",2 Rastay,1961,Master Inayat Hussain,Tanvir Naqvi,Naheed Niazi,
"Papi Jagwa Bulaye, Boond Boond Pari Barkha Ki..",Neela Parbat,1969,Piyarang Qadir,Piyarang Qadir,?,
"Papiha Bolay, Nadan Jiya Dolay, Chalay Thandi Hawa..",Nadir Khan,1968,Tasadduq Hussain,Atish Ludhyanvi,Naseem Begum,
"Para Hay Mujhay Kin Balaon Say Pala, Mohabbat Hamesha..",Charagh Jalta Raha,1962,Nahal Abdullah,Fazal Ahmad Karim Fazli,Noorjahan,
"Parcham Apna Chand Sitara, Azadi Iman Hamara..",Azmat-e-Islam,1965,Master Ashiq Hussain,Tanvir Naqvi,Saleem Raza,
"Parh La-Ila-Ha-Il-Lallah, Mohammad Pak Rasool-Lallah (Saw) ..",Geet Kahin Sangeet Kahin,1969,Master Tufail,Sahil Farani,Munir Hussain,
"Parho Gay, Likho Gay, Bano Gay Nawab, Khelo Gay, Koodo Gay..",Honhaar,1966,A. Hameed,Fyaz Hashmi,Nighat Seema,
"Parwanay, Jal Na Jana, Shama Nazar Ka Dhoka Hay..",Ek Hi Rasta,1968,Deebo,Masroor Anwar,Mala,
"Patt Ghunghat Kay Kholay Kholay, Tu Aa Ja Babu Jee..",Banjaran,1962,Deebo,Himayat Ali Shair,Masood Rana,
"Patta Patta, Boota Boota, Haal Hamara Janay Hay..",Charagh Jalta Raha,1962,Nahal Abdullah,Mir Taqi Mir,Noorjahan,
"Pee Jitna Dil Chahay, Jee Jitna Dil Chahay..",12 Bajay,1961,Lal Mohammad Iqbal,Yizdani Jan,Naheed Niazi,
Pee Kay Ham To Chalay Jhoomtay Mehkhanay Say..,Ek Manzil 2 Rahen,1962,Rasheed Attray,Qateel Shafai,Iqbal Bano,
"Pee Kay Maikhanay Say, Lo, Jhoomtay Maihkhwar Chalay..",Mehkhana,1964,Nashad,Nakhshab,Naseem Begum,
"Pee, Jab Tak Teray Dam Mein Hay Dam, Saghar Ki Qasm..",Mousiqar,1962,Rasheed Attray,Tufail Hoshiarpuri,Mala,
Peepal Kay Pattay Pe Theray Na Paani..,Zalim,1968,Rasheed Attray,Fyaz Hashmi,Mala,
"Pegham Do, Touheed Ka Pegham Do, Amal Karo Quraan Par..",Azmat-e-Islam,1965,Master Ashiq Hussain,Tanvir Naqvi,Irene Parveen,
"Pehlay Pehlay Sarsoon Kay Kheit Lehraye, Aa Ja Pyar Mora..",Chhotay Sarkar,1961,Inayat Hazravi,Qateel Shafai,Mala & Co.,
"Pehli Mulaqat Hui, Lab Hilay Na Baat Hui..",C.I.D.,1969,Bakhshi Wazir,Muzaffar Warsi,?,
"Peshawar Mein Mujhay Shirin, Tujhay Farhad Kehtay Hayn..",Ishrat,1964,Safdar Hussain,Qateel Shafai,Inayat Hussain Bhatti,
"Phir Aaj Un Say Apni Mulaqat Ho Geyi, Ham Jis Say Dartay Thay..",Aliya,1967,Master Inayat Hussain,Riazur Rehman Saghar,Mala,
Phir Aisay Khayalat Aanay Lagay Keh Ham Khudbakhud Gungunanay..,Charagh Jalta Raha,1962,Nahal Abdullah,Fazal Ahmad Karim Fazli,Noorjahan,
"Phir Akelay Mein Balma Bhulaye, Sharm Mohay Aye..",Tamasha,1965,Azam Baig,Tufail Hoshiarpuri,Mala,
"Phir Darwaza Khula Koi, Hawa Chali Wirano Mein..",Shikva,1963,Hassan Latif,Munir Niazi,Najma Niazi,
"Phir Ek Bar Wohi Naghma Gunguna Do Zara, Jo Sun Raha Tha..",Gori,1968,Subal Das,Akhtar Yousuf,Sabina Yasmin,
"Phir Ek Bar Wohi Naghma Gunguna Do Zara, Jo Sun Raha Tha..",Gori,1968,Subal Das,Akhtar Yousuf,Basheer Ahmad,
"Phir Hamen Chhera Kisi Nay, Dil Bhar Aya, Ro Parhay..",Shab Bakhair,1967,Safdar Hussain,Fyaz Hashmi,Mala,
Phir Hari Beilon Kay Neechay Baitha Sham-o-Sahar..,Dhoop Aur Saye,1968,Tufail Niazi,Munir Niazi,Tufail Niazi,
Phir Hari Beilon Kay Neechay Baitha Sham-o-Sahar..,Dhoop Aur Saye,1968,Tufail Niazi,Munir Niazi,Naseem Begum,
Phir Milayn Gay Ham Dono..,Phir Milen Gay Ham Dono,1966,Satya Shaha,Shair Siddiqi,?,
"Phir Mohabbat, Teray Dar Par Hamein Lay Aayi Hay..",Sitamgar,1967,Tasadduq Hussain,Tanvir Naqvi,Masood Rana,
"Phir Subah Ho Gi, Andheray Nahin Ruknay Walay..",Phir Subah Ho Gi,1967,Nashad,Sehba Akhtar,Masood Rana,
Phir Utha Pehlu Mein Heye Dard-e-Dil..,Shahi Mahal,1968,Tasadduq Hussain,Nazim Panipati,Irene Parveen,
"Phool Hans Kay Khil Geye, Ashk Moti Ban Geye..",Husn Ka Chor,1966,Khalil Ahmad,Himayat Ali Shair,Naheed Niazi,
"Phool Khilay Murjhanay Ko, Yeh Bahar Jaye..",Tanha,1964,Altaf Mehmood,Suroor Barabankvi,Altaf Mehmood,
"Phool Mehkay Hayn, Baharon Peh Nikhar Aya Hay..",Commander,1968,Master Abdullah,Mushir Kazmi,Runa Laila,
"Phool Murjhaye, Nazron Par Udasi Chha Geyi..",Saheli,1960,A. Hameed,Fyaz Hashmi,Kousar Parveen,
"Phool Sa Nazuk Badan, Kahin Murjha Na Jaye..",Anari,1969,Ali Hossain,Akhtar Yousuf,Ahmad Rushdi,
"Phool Tu, main Pankhri, Sharm Kyun Rah Mein Aa Pari..",C.I.D.,1969,Bakhshi Wazir,Muzaffar Warsi,?,
"Phoolon Ki Mehak, Sholon Ki Lapak, Meri Zindagi Mein Aa Geyi..",Kajal,1965,Subal Das,M.D. Ahsan,Anjuman Ara,
"Pi Lay, Pi Lay, Dunya Ka Gham Karta Hay Kyun..",Doosri Shadi,1968,M. Ashraf,Khawaja Parvez,Mala,
"Pi Say Milun Gi, Teri Shikayet Un Say Karun Gi..",Zinda Lash,1967,Tasadduq Hussain,Mushir Kazmi,Irene Parveen,
"Piya Beganay Chalay Aye, Jiya Nahin Manay..",Zarina,1962,G.A. Chishti,Nakhshab,Noorjahan,
"Piya Nahin Aye, Sakhi, Un Bin Mora Jiya Gabhraye..",Darvaza,1962,Saleem Iqbal,Saifuddin Saif,Ustad Amanat Ali Khan,
"Piya Ray, Toray Angan Mein Jhoom Jhoom Jaun..",2 Bhai,1968,Wazir Afzal,Sorash Dehlvi,Naseem Begum,
"Piya, Aa Ja Ray, Ho Piya, Bin Dekhay Nahin..",Main Voh Nahin,1967,A. Hameed,Himayat Ali Shair,Mala,
"Piye Ja, Piye Ja, Yeh Peenay Kay Din Hayn..",Aur Bhi Gham Hayn,1960,Nathu Khan,Tamanna Siddiqi,Nazir Begum,
Pohnchay Hayn Dard Kay Afsanay Kahan Kahan..,Inqilab,1962,N.K. Rathoor,Naz,Khursheed Begum,
"Poochho Na Ham, Chalay Hayn Kahan, Aaj Ham Say Milay Gi..",Shabnam,1965,A. Hameed,Fyaz Hashmi,Ahmad Rushdi,
Preet Laga Kay Ho Geyi Main To Gali Gali Badnam..,Door Ki Aavaz,1969,A. Hameed,?,Mala,
"Preet Peh Jab Sham Dhal Jaye Gi, Dil Mora Reh Reh Kay Tarpaye Ga..",Sham Dhalay,1960,Rasheed Attray,Sufi Ghulam Mustafa Tabassum,Naseem Begum,
Prem Jot Jalti Rahay Hamesha Teray Darbar Ki..,Laggan,1960,Azam Baig,Munir Niazi,Saleem Raza,
"Prem, Rang Rang, Ang Ang Mein Samayo Ray..",Roopmatti Baaz Bahadur,1960,Tasadduq Hussain,Tufail Hoshiarpuri,Kousar Parveen,
Purwa Chalay To Ghoonghat Wa Khulay..,Ham Matvalay Nojavan,1965,Saleem Iqbal,Masroor Anwar,Ahmad Rushdi,
"Pyar Ban Jaun Ga, Shart Yeh Hay Magar Apnay Sanson Mein..",Nazneen,1969,M. Ashraf,Kaleem Usmani,Ahmad Rushdi,
"Pyar Bhari Yaad Teri Aa Geyi, O Dildariya, Wei Wei Wei..",Ajnabi,1962,Asghar Ali,Tanvir Naqvi,Naseem Begum,
"Pyar Bhi Hay Saza, Na Tha Maloom..",Meray Laal,1967,Lal Mohammad Iqbal,Sehba Akhtar,Masood Rana,
"Pyar Hota Nahi, Zindagi Say Juda, Hay Dard-e-Mohabbat Ka Yahi Silsala..",Phir Subah Ho Gi,1967,Nashad,Sehba Akhtar,Runa Laila,
"Pyar Ka Haq Hay, Pyar Karanay Ka Sila Sab Ko Kahan Milta Hay..",Ishara,1969,Sohail Rana,Masroor Anwar,Mala,
"Pyar Ka Jua, Kisi Ka Na Hua, Loat Ja O Deevanay..",Andhi Mohabbat,1964,Manzoor Ashraf,Mushir Kazmi,Mala & Co.,
"Pyar Ka Koi Sahara Na Raha, Gham Kay Siwa Koi Hamara Na Hua..",Insan,1966,Rasheed Attray,Sufi Tabassum,Naseem Begum,
Pyar Ka Pyam.. Tum Milay To Zindagi Mein Aa Geya Nikhar..,Qabeela,1966,Rehman Verma,Ahmad Zafar,Mala,
"Pyar Ka Samaa, Aarzoo Jawan, Soi Soi Si, Jagi Jagi Si..",Jab Say Dekha Hay Tumhen,1963,Sohail Rana,Himayat Ali Shair,Najma Niazi,
"Pyar Kar Kay Ham, Buhat Pachhtaye..",Andaleeb,1969,Nisar Bazmi,Kaleem Usmani,Noorjahan,
"Pyar Karo Gay, Pachhtao Gay, Dhoka Khao Gay..",Barat,1963,Azam Baig,Fyaz Hashmi,Naseem Begum,
"Pyar Kay Geet Liye, Raat Suhani Aayi, Teray Honton Peh..",Ghar Ka Ujala,1966,Manzoor Ashraf,Shabab Keranvi,Naseem Begum,
"Pyar Kay Ham Nay, Chheray Taranay, Aagay Kya Ho Ga, Allah Hi Janay..",Khota Paisa,1965,Rehman Verma,Qateel Shafai,Nazir Begum,
"Pyar Kay Naghmay Kis Nay Chheray, Main To Kho Geyi..",Baharen Phir Bhi Ayen Gi,1969,Shamim Nazli,Khawaja Parvez,Mala,
"Pyar Kay Pehlay Mor Peh Gori, Sath Hamara Chhor Kay Na Jana..",Beti Beta,1968,Manzoor Ashraf,Qateel Shafai,Ahmad Rushdi,
"Pyar Kehtay Hayn Jisay, Yeh Pyar Hay Hazoor..",Surayya,1961,Akhtar Hussain Akhian,Ghulam Rabbani,Kousar Parveen,
Pyar Ki Raat Kabhi Khatam Na Honay Paye..,Khan Bahadur,1960,G.A. Chishti,Ahmad Rahi,Saleem Raza,
"Pyar Ki Woh Nazar Thi Haseen, Kis Qadar Baton Mein..",Aavaz Day Kahan Hay,1962,Khursheed Qais,Habib Jalib,Zubaida Khanum,
"Pyar Kisi Say Na Karna, Kisi Say Heye Dil Na Lagana, Ray..",Chhoti Ammi,1964,Tasadduq Hussain,Mushir Kazmi,Naseem Begum,
"Pyar Kiya Hay To Sanam, Pyar Nibhana Ho Ga..",Peigham,1964,A. Hameed,Fyaz Hashmi,Munir Hussain,
Pyar Ko Paon Ki Zanjeer Bana Lun Kaisay..,Ghar Pyara Ghar,1968,Nisar Bazmi,Habib Jalib,Runa Laila,
"Pyar Mein 2 Ghari Muskara Na Sakay, Bewafa, Tujh Ko Apna..",Phool Aur Kantay,1964,Mohammad Ali Munnu,Tishna Meeruti,Mala,
"Pyar Mein Dagha Kabhi Na Dena, Yeh Zamana Kuchh Bhi Kahay..",Diya Aur Toofan,1969,Kemal Ahmad,Fyaz Hashmi,Ahmad Rushdi,
"Pyar Mein Ham A Jan-e-Tamanna, Jan Say Jayen To Mano Gay..",Kaneez,1965,Khalil Ahmad,Himayat Ali Shair,Ahmad Rushdi,
"Pyar Mein Ham Nay Khai Hay Thokar, Dil Hay Toota Magar Ham Hayn Joker..",Joker,1966,Muslehuddin,Fyaz Hashmi,Ahmad Rushdi,
"Pyar Mein Teray Ham Pyaray, Banay Banjaray, Ho..",Shab Bakhair,1967,Safdar Hussain,Fyaz Hashmi,Mala,
Pyar Mil Jaye To Har Baat Haseen Lagti Hay..,Ladla,1969,Lal Mohammad Iqbal,Masroor Anwar,Ahmad Rushdi,
Pyar Na Ho Jab Dil Mein To Jeena Hay Adhoora..,Lakhon Mein Ek,1967,Nisar Bazmi,Tanvir Naqvi,Naseem Begum,
Pyar Say Ik Nazar Dekh Lo Tum Idhar..,BeReham,1967,Rehman Verma,Muzaffar Warsi,Masood Rana,
"Pyar Tumhara, Meray Dil Mein Laga Kay Deray..",Subah Kahin Sham Kahin,1961,Nazir Jafri,Zahoor Nazar,Zubaida Khanum,
"Pyar Woh Karta Hay, Jo Thora Sa Soudai Hay..",Misaal,1966,Azam Baig,Rehan,Saleem Raza,
"Pyara Hay Mousam, Ham Hayn Deevanay, Kis Kis Ko Sunayen..",Bahadur,1967,Deebo,Fyaz Hashmi,Irene Parveen,
"Pyaray Pyaray, Yaar Hamaray, Hath Dikhatay Jaan..",Chakori,1967,Robin Ghosh,Akhtar Yousuf,Ahmad Rushdi,
"Pyari Bhabhi, Bhabhi Nahin Tu Meri Maa Hay..",Mera Kya Qasoor,1962,Tasadduq Hussain,Mushir Kazmi,Irene Parveen,
"Pyari Maa, Dua Karo, Main Jald Bara Ho Jaun..",Aadil,1966,Nisar Bazmi,Himayat Ali Shair,Naheed Niazi,
"Pyari Maa, Pyari Maa, Main Akela Yahan..",Wali Ehad,1968,Khalil Ahmad,Kaleem Usmani,Runa Laila,
"Qadam Bharao, Sahto, Bharay Chalo (1)..",Saltanat,1960,G.A. Chishti,Qateel Shafai,Inayat Hussain Bhatti,
"Qadam Bharao, Sahto, Bharay Chalo (2)..",Saltanat,1960,G.A. Chishti,Qateel Shafai,Inayat Hussain Bhatti,
"Qadam Qadam Peh Neye Dukh, Hayn Zindagi Kay Liye..",Hamrahi,1966,Tasadduq Hussain,Muzaffar Warsi,Masood Rana,
Qadar Mori Janay Na Balma..,Tangay Vala,1963,Rasheed Attray,Tanvir Naqvi,Naseem Begum,
"Qadmon Mein Taray Bachha Dun, Main Teray Liye Sar Ko Kata Dun..",Bahadur,1967,Deebo,Fyaz Hashmi,Masood Rana,
Qadmon Mein Teray Jannat Meri..,Qulli,1968,Ali Hossain,Suroor Barabankvi,Irene Parveen,
"Qareeb Aa Kay Galay Say Laga Lo, To Baat Bhi Hay..",Azad,1964,Rasheed Attray,Tanvir Naqvi,Noorjahan,
"Qasam Us Waqt Ki, Jab Zindagi Karwat Badalti Hay..",Qasm Us Waqt Ki,1969,Sohail Rana,Josh Malihabadi,Mujeeb Alam,
"Qisa-e-Gham To Sunayen Gay, Ab Nahin To Kal Sahi..",Savaal,1966,Rasheed Attray,Fyaz Hashmi,Noorjahan,
Qismat Nay Bheija Taar Keh Ab Gham Matt Kar..,Zarina,1962,G.A. Chishti,Tanvir Naqvi,Saleem Raza,
"Qissa-e-Gham Mein Tera Naam, Na Anay Den Gay..",Daastan,1969,Tasadduq Hussain,Fyaz Hashmi,Mehdi Hassan,
Raat Aayi To Saqi Nay Bari Dhoom Macha Di..,Aag Ka Darya,1966,Ghulam Nabi,Josh Malihabadi,Naseem Begum & Co.,
"Raat Ayi Hay, Chali Jaye Gi, Tum Aa Kay Matt Jana..",Street 77,1960,Akhtar Hussain Akhian,Hazin Qadri,Naheed Niazi,
"Raat Ayi, Aarzoo So Geyi, Har Khushi Dard Ban Kay Chha Geyi..",Soye Nadia Jagay Pani,1968,Khan Ataur Rahman,Suroor Barabankvi,Sabina Yasmin,
"Raat Chali Hay Jhoom Kay, Rahon Ko Teri Choom Kay, Aa Bhi Ja..",Josh,1966,Muslehuddin,Fyaz Hashmi,Ahmad Rushdi,
"Raat Dhalay To Dhalnay Do, Shama Jalay To Jalnay Do..",Aliya,1967,Master Inayat Hussain,Fyaz Hashmi,Mala,
"Raat Hay Baqi, Jam Day Saqiya, Deir Hay Kya..",Gulfam,1961,Rasheed Attray,Tanvir Naqvi,Mala & Co.,
"Raat Ki BeSkoon Khamoshi Mein, Ro Raha Hun Keh So Nahin Sakta..",Savaal,1966,Rasheed Attray,Saifuddin Saif,Mehdi Hassan,
Raat Sakhi Balma Nay Kya Kya Sataya Mujhay..,Darvaza,1962,Saleem Iqbal,Saifuddin Saif,Naseem Begum & Co.,
"Raat Saloni Aai, Baat Anokhi Lai jo Ham Kisi Say Na Kahen Gay..",Zamana Kya Kahay Ga,1961,Muslehuddin,Fyaz Hashmi,Ahmad Rushdi,
"Raat Suhani Ayi, Ho, Sang Jawani Layi, O Ho..",Yeh Bhi Ek Kahani,1964,Karim Shahabuddin,Z.R. Mani,Firdousi Begum,
"Raat Suhani Hay, Soya Soya Chand Hay, Meri Qasm Hay Tujh Ko..",Hamsafar,1960,Muslehuddin,Shoukat Hashmi,Hemant Kumar (Indian singer),
"Raat Suhani, Chhal Bal Nadiya Lehrati Bal Khati Jaye..",Hamdam,1967,Zia-ud-din,Wajad Chughtai,Saleem Shehzad,
Raat Yun Dil Mein Teri Khoi Hui Yaad Ayi..,Qasm Us Waqt Ki,1969,Sohail Rana,Faiz Ahmad Faiz,Mujeeb Alam,
"Raaz Dil Ka Sari Dunya Say Chhupatay Jayie, Pyar Kartay Jaiye..",Shabab,1964,Rasheed Attray,Qateel Shafai,Naseem Begum,
Rah Chalt Mori Chunri Rang Dali Ray..,Dil day Kay Dekho,1969,Sohail Rana,Fyaz Hashmi,Ahmad Rushdi,
"Rah Mein Chhor Kay, Ham Say Monh Mor Kay..",Chhotay Sahib,1967,Ali Hossain,Akhtar Yousuf,Mala,
"Rahat Qalb-o-Sakun Jan, Samjh Baithay Thay Ham..",7 Rang,1965,Subal Das,Suroor Barabankvi,Firdousi Begum,
Rahay Bars Bars Tu Shadman..,Main Voh Nahin,1967,A. Hameed,Himayat Ali Shair,Naseem Begum,
"Rahay Himmat Jawan Apni Sathi, Rahay Honto Peh Apnay Tarana..",Heera Aur Pathar,1964,Sohail Rana,Masroor Anwar,Khursheed Sherazi,
"Rahay Nagri Teri Abad, Lay Kay Ayi Hun Main Faryad..",Chheen Lay Azadi,1968,Safdar Hussain,Qateel Shafai,Irene Parveen,
"Rahi Bhataknay Walay, Parh La-Ila-Ha Kay Ujalay, Dil Ka Diya Jala Lay..",Aadil,1966,Nisar Bazmi,Mushir Kazmi,Mehdi Hassan,
"Rahi Ham Ik Manzil Kay, Manzil Ko Chalay Hayn Mil Kay..",Bhabhi,1960,Tasadduq Hussain,Tufail Hoshiarpuri,Munir Hussain,
"Rahon Nay Sada Di Hay, Manzil Nay Pukara Hay..",Baghi Sardar,1966,Muslehuddin,Tufail Hishiarpuri,Mala,
"Rahon Peh Chhai Hay.. Koi Aye, Koi Na Janay Kab Aye..",Ghoonghat,1962,Khawaja Khursheed Anwar,Tanvir Naqvi,Noorjahan & Co.,
"Rahun gi Ban Kay Teray Sang Sang, Ban Kay Teri Chhaya..",Katari,1968,M. Ashraf,Tanvir Naqvi,Runa Laila,
"Raj Dularay, Tera Jagmag Mukhra, Chand Ko Bhi Sharmaye..",Albela,1967,Wazir Afzal,Qateel Shafai,Munir Hussain,
"Raja, Man Kay Dulha Ban Kay Ayen Gay, Aaj Hamaray Ghar..",Maalan,1964,Nazir Sheeley,?,Naseema Shaheen,
"Rang Aisa Hay Meray Shabab Ka, Jaisay Phoolon Mein Phool Ho..",Sher-e-Islam,1961,Azam Baig,Qateel Shafai,Farida Khanum,
"Rang Bhara Dil Aaj Yahi Gaye Ga, Kash, Guzrata Yahin Waqt..",Qanoon,1963,Khalil Ahmad,Tanvir Naqvi,Najma Niazi,
"Rang Bhari Raat Ayi Ray, Chanda Ko Sath Lai Ray..",Sazish,1963,Akhtar Hussain Akhian,Hakeem Ahmad Shujaa,Kousar Parveen,
"Rang Hay Lal Gulabi, Shafaq Mein Doob Kay Niklay Gaal..",Taj Aur Talvar,1961,Safdar Hussain,Qateel Shafai,Naheed Niazi,
"Rang Mefil Ka Jamay, Raqs Apna Na Thamay..",Mujhay Jeenay Do,1968,Muslehuddin,Qateel Shafai,Naheed Niazi,
"Rang Roop, Jawani, Rut Sawan Ki Suhani..",Chanda,1962,Robin Ghosh,Suroor Barabankvi,Firdausi Begum,
"Rang-e-Mehfil Aur Na Tanhai, Zindagi, Kis Tarf Chali Ayi..",Jadugar,1961,Saleem Iqbal,Sahil Farani,Naseem Begum,
"Rangeen Faza Hay, Purkaif Hawa Hay, Ankhon Mein Meri..",Savaal,1966,Rasheed Attray,Fyaz Hashmi,Mala,
"Rangeen Fazaen, Yun Muskaraen, Kuchh Tum Batao..",Daastan,1969,Khalil Ahmad,Fyaz Hashmi,Ahmad Rushdi,
"Raqs Hay, Naghma Hay, Zulf Hay, Sham Hay..",Zindagi Kitni Haseen Hay,1969,Nisar Bazmi,Khawaja Parvez,Mala,
"Raqs Kar, Raqs Kar Dharkano Kay Saaz Par..",Aurat Aur Zamana,1968,Ghulam Nabi,Tanvir Naqvi,Runa Laila & Co.,
Raqs Mein Hay Sara Jahan.. Aye Ga Woh Mahqooba..,Ayaz,1960,Khawaja Khursheed Anwar,Tanvir Naqvi,Naheed Niazi,
"Raqs, Zanjeer Pehan Kar Bhi Kiya Jata Hay..",Zarqa,1969,Wajahat Attray,Habib Jalib,Mehdi Hassan,
"Raseelay Moray Rasia, Najaria Mila..",Mousiqar,1962,Rasheed Attray,Tanvir Naqvi,Noorjahan,
Rasheelay Moray Nainwa Kay Teekhay Baan..,Gul Bakavli,1961,Safdar Hussain,Qateel Shafai,Naseem Begum,
"Rashk-e-Chamman, Main Hun Rashk-e-Chamman..",Sajda,1967,Manzoor Ashraf,Qateel Shafai,Najma Niazi,
"Rass Kay Bharay, Toray Nain Sanwariya, O Albelay..",Shikari,1964,Muslehuddin,Qateel Shafai,Noorjahan,
"Rassya, O Man Bassya, Kaisa Jadoo Yeh Tu Nay Kiya..",Manzil Door Nahin,1968,Lal Mohammad Iqabl,Dukhi Premnagri,Naseema Shaheen,
"Reham Karo Ya Shah-e-Do-Aalam, Sallallaho Alaiye Wasallam..",Sartaj,1965,Safdar Hussain,Fyaz Hashmi,Mala,
"Reham Karo, Ya Rabb, Mohammad (Saw) Ka Wasta..",Peigham,1964,A. Hameed,Fyaz Hashmi,Noorjahan,
"Rehm Karo, Ya Shah-e-2 Aalam, Sal-Lal-La-Ho-Elai-e-Wasallam..",Eid Mubarak,1965,A. Hameed,Fyaz Hashmi,Mala,
"Rehmat Ki Nazar Mujh Pah, Meray Palnay Walay..",Aarzoo,1965,Deebo,Wajd Chughtai,Rehana Yasmin,
"Rehna Bach Kay Babu Jee, Ham Taray Banjaray, Main Nagin Hun..",Bombay Vala,1961,Rehman Verma,Mushir Kazmi,Naheed Niazi & Co.,
"Reshmi Dopatta, Meray Goray Goray Hath Mein..",Aavaz Day Kahan Hay,1962,Khursheed Qais,Ashiq Bhatti,Zubaida Khanum & Co.,
"Reya Ray Ra Ra.. Sun Sun Bhanwara, Dhun Kya Sunaye..",Ajab Khan,1961,G.A. Chishti,Ahmad Rahi,Naheed Niazi,
"Rikshaw Wala, Matwala, Rang Barangay Shehar Kay Konay Konay..",Talash,1963,Robin Ghosh,?,Basheer Ahmad,
"Rindon Par Band Ho Mehkhana, Ya Shama Say Door Ho Parwana..",Baghi Sardar,1966,Tasadduq Hussain,Qateel Shafai,Naseem Begum,
"Ro Rahi Hay Sham-e-Gham, Jalnay Lagi Tanhaiyan..",Raqqasa,1965,Master Rafiq Ali,Ahmad Rahi,Noorjahan,
"Ro Ro Haaray, Nain Becharay, Dil Kay Tukray Beh Geye..",2 Ustad,1960,Ghulam Nabi,Fyaz Hashmi,Zubaida Khanum,
"Ro Ro Kay Tujh Ko Bhulaun, Maa, Dukhray Main Kis Ko Sunau, Maa..",Beti,1964,Deebo,Fyaz Hashmi,Irene Parveen,
"Roka Nazar Ko To Dil Machal Geya, Dil Badal Geya..",2 Bhai,1968,Wazir Afzal,Sorash Dehlvi,Naseem Begum,
Rooth Gei Kyun Mujh Say Teray Payel Ki Jhankar..,Dil Mera Dharkan Teri,1968,Master Inayat Hussain,Qateel Shafai,Ahmad Rushdi,
Rooth Kay Tum Na Yun Meray Pyar Jao..,Shaheed Titumir,1969,Mansoor Ahmad,Ayaz Aasi,Basheer Ahmad,
"Rootha Na Karo, A Jan-e-Wafa Ham Say..",Papi,1968,Jameel Khusro,Ahmad Ali Aseer,Saleem Shehzad,
"Roothay Sayyan Jee Kaisay Manaun, Bedardi Kuchh Samjhay..",Aneela,1969,Nisar Bazmi,Masroor Anwar,Mala,
"Roothi Hui Hay Masoom Nazar, Kya Kehna..",Jan Pehchan,1967,Muslehuddin,Nasir Kasganjvi,Mujeeb Alam,
