Song Name,Movie Name,Release Year,Music Director,Poet,Singers,Actors
"Aa Lay Lay, Jeena Ka Maza, Ga Dumba Sajj Gajj Dumba..",Deevar,1954,?,?,Pukhraj Pappu,
"Aa Main Bhi Jawan Hun, Aur Tum Bhi Jawan Ho..",Lakhpati,1958,Masoom Rahim,Tajammal Sehrai,Depura Daniel,
"Aa Mera Dil Lay Lay, Ho, Inkar Na Kar Tu Albelay..",Sohni,1955,Feroz Nizami,Qateel Shafai,Kousar Parveen,
"Aa Phaili Hui Hay Chandni, Nach Rahi Hay Ragni..",Barkha,1953,Tufail Farooqi,Mushir Kazmi,Munawar Sultana & Co.,
Aag Aisi Dil Barbad Tak Aa Pohnchi Hay..,Rukhsana,1958,Rasheed Attray,Tufail Hoshiarpuri,Munir Hussain,
"Aag Laga Do, Aag Raag Say Aag Laga Do..",Shama,1959,Hassan Latif,Tanvir Naqvi,Saleem Raza,
"Aag Say Bulbulay Nahin Uthtay, Kyun Hawa Mein Diye Jalatay Ho..",Jahad,1950,Karim Dad Anwar,Tanvir Naqvi,Zeenat Begum,
"Aagay Moray Piya, Naach Raha Hay Jiya, Pyar Say Dil Lay Liya..",Naveli,1952,?,Saifuddin Saif,Munawar Sultana,
"Aah Jati Hay Falak Par Rehm Lanay Kay Liye, Hat Jao Badlo..",Hamari Zuban,1955,Ghulam Nabi,Agha Hashar Kashmiri,Khursheed Begum,
"Aaha Aaha, Qadam Qadam Chal, Deikh Nazaray Kah Husn..",Deevar,1954,?,Tanvir Naqvi,Pukhraj Pappu,
"Aaha, Dheeray Dheeray, Nayya Bahay Jaye, Ray..",Sathi,1959,Fateh Ali Khan,Parvez Chishti,Naheed Niazi,
"Aahen Tarrap Rahin Hayn, Aansoo Nikal Rahay Hayn..",Lakht-e-Jiggar,1956,G.A. Chishti,Saifuddin Saif,Noorjahan,
"Aaj Chali Taqdeer Ki Mari, AnDeikhay Veerano Mein..",Mumtaz,1958,Mian Shehar Yaar,Liaqat Sehbai,Abdur Shakoor,
